Town,Date,Sale Amount
Watertown,2021-01-01,264880.208
Watertown,2021-02-01,315084.737
Watertown,2021-03-01,246946.429
Watertown,2021-04-01,236485.484
Watertown,2021-05-01,251188.571
Watertown,2021-06-01,271073.211
Watertown,2021-07-01,279883.333
Watertown,2021-08-01,302081.818
Watertown,2021-09-01,278892.105
Watertown,2021-10-01,273504.082
Watertown,2021-11-01,303667.921
Watertown,2021-12-01,283763.471
Watertown,2022-01-01,232401.84
Watertown,2022-02-01,271158.333
Watertown,2022-03-01,251912.162
Watertown,2022-04-01,277442.2
Watertown,2022-05-01,282672.848
Watertown,2022-06-01,269711.738
Watertown,2022-07-01,312448.214
Watertown,2022-08-01,272481.1
Watertown,2022-09-01,278465.0
West Hartford,2006-10-01,340724.311
West Hartford,2006-11-01,340724.311
West Hartford,2006-12-01,340724.311
West Hartford,2007-01-01,340724.311
West Hartford,2007-02-01,340724.311
West Hartford,2007-03-01,340724.311
West Hartford,2007-04-01,340724.311
West Hartford,2007-05-01,340724.311
West Hartford,2007-06-01,340724.311
West Hartford,2007-07-01,340724.311
West Hartford,2007-08-01,340724.311
West Hartford,2007-09-01,340724.311
West Hartford,2007-10-01,340724.311
West Hartford,2007-11-01,348058.871
West Hartford,2007-12-01,328938.264
West Hartford,2008-01-01,299860.791
West Hartford,2008-02-01,292426.471
West Hartford,2008-03-01,307325.208
West Hartford,2008-04-01,325725.541
West Hartford,2008-05-01,334982.492
West Hartford,2008-06-01,369154.829
West Hartford,2008-07-01,354575.768
West Hartford,2008-08-01,355572.529
West Hartford,2008-09-01,312576.756
West Hartford,2008-10-01,325336.744
West Hartford,2008-11-01,340577.358
West Hartford,2008-12-01,356565.466
West Hartford,2009-01-01,317600.0
West Hartford,2009-02-01,354166.926
West Hartford,2009-03-01,286182.857
West Hartford,2009-04-01,281524.444
West Hartford,2009-05-01,324213.462
West Hartford,2009-06-01,339357.767
West Hartford,2009-07-01,319120.19
West Hartford,2009-08-01,336309.5
West Hartford,2009-09-01,296614.754
West Hartford,2009-10-01,297189.552
West Hartford,2009-11-01,315652.698
West Hartford,2009-12-01,354680.143
West Hartford,2010-01-01,326958.174
West Hartford,2010-02-01,322766.667
West Hartford,2010-03-01,317607.531
West Hartford,2010-04-01,298856.104
West Hartford,2010-05-01,332246.63
West Hartford,2010-06-01,328733.381
West Hartford,2010-07-01,389607.018
West Hartford,2010-08-01,331514.314
West Hartford,2010-09-01,311041.026
West Hartford,2010-10-01,338018.348
West Hartford,2010-11-01,328228.431
West Hartford,2010-12-01,331623.276
West Hartford,2011-01-01,342447.5
West Hartford,2011-02-01,323301.2
West Hartford,2011-03-01,339294.263
West Hartford,2011-04-01,323173.833
West Hartford,2011-05-01,321760.673
West Hartford,2011-06-01,356239.604
West Hartford,2011-07-01,364125.0
West Hartford,2011-08-01,351475.949
West Hartford,2011-09-01,340785.556
West Hartford,2011-10-01,339779.25
West Hartford,2011-11-01,338772.944
West Hartford,2011-12-01,337766.639
West Hartford,2012-01-01,336760.333
West Hartford,2012-02-01,335754.027
West Hartford,2012-03-01,334747.722
West Hartford,2012-04-01,333741.416
West Hartford,2012-05-01,332735.11
West Hartford,2012-06-01,331728.805
West Hartford,2012-07-01,330722.499
West Hartford,2012-08-01,329716.193
West Hartford,2012-09-01,328709.887
West Hartford,2012-10-01,327703.582
West Hartford,2012-11-01,328868.708
West Hartford,2012-12-01,329933.174
West Hartford,2013-01-01,316479.614
West Hartford,2013-02-01,290545.312
West Hartford,2013-03-01,331013.571
West Hartford,2013-04-01,312518.519
West Hartford,2013-05-01,333917.982
West Hartford,2013-06-01,355158.667
West Hartford,2013-07-01,360008.085
West Hartford,2013-08-01,355480.429
West Hartford,2013-09-01,321778.045
West Hartford,2013-10-01,297728.565
West Hartford,2013-11-01,372182.048
West Hartford,2013-12-01,294277.228
West Hartford,2014-01-01,340299.344
West Hartford,2014-02-01,342084.1
West Hartford,2014-03-01,287958.674
West Hartford,2014-04-01,324751.923
West Hartford,2014-05-01,323518.333
West Hartford,2014-06-01,355987.096
West Hartford,2014-07-01,363254.55
West Hartford,2014-08-01,355002.405
West Hartford,2014-09-01,324175.769
West Hartford,2014-10-01,303117.769
West Hartford,2014-11-01,280758.333
West Hartford,2014-12-01,316180.559
West Hartford,2015-01-01,296337.931
West Hartford,2015-02-01,296410.561
West Hartford,2015-03-01,304690.0
West Hartford,2015-04-01,296256.667
West Hartford,2015-05-01,325331.719
West Hartford,2015-06-01,370630.623
West Hartford,2015-07-01,338060.203
West Hartford,2015-08-01,362463.679
West Hartford,2015-09-01,323054.054
West Hartford,2015-10-01,293585.156
West Hartford,2015-11-01,269237.736
West Hartford,2015-12-01,328965.459
West Hartford,2016-01-01,336029.975
West Hartford,2016-02-01,343588.075
West Hartford,2016-03-01,315646.652
West Hartford,2016-04-01,328802.508
West Hartford,2016-05-01,330606.505
West Hartford,2016-06-01,364176.283
West Hartford,2016-07-01,336924.091
West Hartford,2016-08-01,337312.362
West Hartford,2016-09-01,296384.141
West Hartford,2016-10-01,298254.813
West Hartford,2016-11-01,300125.485
West Hartford,2016-12-01,301996.157
West Hartford,2017-01-01,303866.829
West Hartford,2017-02-01,305737.501
West Hartford,2017-03-01,307608.173
West Hartford,2017-04-01,309478.845
West Hartford,2017-05-01,311349.518
West Hartford,2017-06-01,313220.19
West Hartford,2017-07-01,315090.862
West Hartford,2017-08-01,316961.534
West Hartford,2017-09-01,318832.206
West Hartford,2017-10-01,320702.878
West Hartford,2017-11-01,316665.712
West Hartford,2017-12-01,309241.357
West Hartford,2018-01-01,279411.765
West Hartford,2018-02-01,344931.481
West Hartford,2018-03-01,361595.22
West Hartford,2018-04-01,327785.97
West Hartford,2018-05-01,347012.808
West Hartford,2018-06-01,374462.563
West Hartford,2018-07-01,361675.234
West Hartford,2018-08-01,371136.598
West Hartford,2018-09-01,331317.359
West Hartford,2018-10-01,309508.932
West Hartford,2018-11-01,301733.5
West Hartford,2018-12-01,310634.302
West Hartford,2019-01-01,295971.5
West Hartford,2019-02-01,276192.103
West Hartford,2019-03-01,331081.872
West Hartford,2019-04-01,365600.04
West Hartford,2019-05-01,337131.827
West Hartford,2019-06-01,361248.402
West Hartford,2019-07-01,373471.31
West Hartford,2019-08-01,350331.461
West Hartford,2019-09-01,305801.974
West Hartford,2019-10-01,310542.517
West Hartford,2019-11-01,339652.73
West Hartford,2019-12-01,323293.089
West Hartford,2020-01-01,335480.0
West Hartford,2020-02-01,308131.667
West Hartford,2020-03-01,311266.276
West Hartford,2020-04-01,332592.989
West Hartford,2020-05-01,336096.151
West Hartford,2020-06-01,342884.663
West Hartford,2020-07-01,356004.722
West Hartford,2020-08-01,398685.351
West Hartford,2020-09-01,357623.081
West Hartford,2020-10-01,349881.094
West Hartford,2020-11-01,334901.818
West Hartford,2020-12-01,377167.228
West Hartford,2021-01-01,359678.149
West Hartford,2021-02-01,306550.078
West Hartford,2021-03-01,331832.694
West Hartford,2021-04-01,354740.202
West Hartford,2021-05-01,385843.733
West Hartford,2021-06-01,380323.897
West Hartford,2021-07-01,388523.68
West Hartford,2021-08-01,386399.235
West Hartford,2021-09-01,377328.973
West Hartford,2021-10-01,355094.248
West Hartford,2021-11-01,372801.858
West Hartford,2021-12-01,353293.559
West Hartford,2022-01-01,328400.563
West Hartford,2022-02-01,363352.82
West Hartford,2022-03-01,352886.226
West Hartford,2022-04-01,404086.42
West Hartford,2022-05-01,400585.895
West Hartford,2022-06-01,439025.811
West Hartford,2022-07-01,421508.5
West Hartford,2022-08-01,416977.26
West Hartford,2022-09-01,427468.871
West Haven,2006-10-01,240385.294
West Haven,2006-11-01,232192.147
West Haven,2006-12-01,245332.388
West Haven,2007-01-01,225955.614
West Haven,2007-02-01,229877.932
West Haven,2007-03-01,235027.66
West Haven,2007-04-01,244690.814
West Haven,2007-05-01,239493.062
West Haven,2007-06-01,265726.333
West Haven,2007-07-01,199810.143
West Haven,2007-08-01,209525.714
West Haven,2007-09-01,233939.605
West Haven,2007-10-01,214810.185
West Haven,2007-11-01,215578.857
West Haven,2007-12-01,231220.513
West Haven,2008-01-01,206905.393
West Haven,2008-02-01,221319.048
West Haven,2008-03-01,206115.0
West Haven,2008-04-01,212590.0
West Haven,2008-05-01,195628.571
West Haven,2008-06-01,212615.673
West Haven,2008-07-01,216013.095
West Haven,2008-08-01,205347.974
West Haven,2008-09-01,204647.353
West Haven,2008-10-01,207392.212
West Haven,2008-11-01,191215.789
West Haven,2008-12-01,180856.0
West Haven,2009-01-01,183802.0
West Haven,2009-02-01,155878.571
West Haven,2009-03-01,164964.348
West Haven,2009-04-01,160184.033
West Haven,2009-05-01,158455.977
West Haven,2009-06-01,167749.25
West Haven,2009-07-01,170642.036
West Haven,2009-08-01,193110.938
West Haven,2009-09-01,171984.447
West Haven,2009-10-01,180515.625
West Haven,2009-11-01,177426.511
West Haven,2009-12-01,184295.263
West Haven,2010-01-01,175177.838
West Haven,2010-02-01,161678.179
West Haven,2010-03-01,164191.697
West Haven,2010-04-01,171293.75
West Haven,2010-05-01,193686.207
West Haven,2010-06-01,180767.638
West Haven,2010-07-01,143854.933
West Haven,2010-08-01,150012.069
West Haven,2010-09-01,147365.929
West Haven,2010-10-01,148613.4
West Haven,2010-11-01,149860.872
West Haven,2010-12-01,151108.344
West Haven,2011-01-01,152355.815
West Haven,2011-02-01,153603.287
West Haven,2011-03-01,154850.759
West Haven,2011-04-01,156098.23
West Haven,2011-05-01,157345.702
West Haven,2011-06-01,158593.174
West Haven,2011-07-01,159840.646
West Haven,2011-08-01,161088.117
West Haven,2011-09-01,162335.589
West Haven,2011-10-01,163583.061
West Haven,2011-11-01,140138.667
West Haven,2011-12-01,152460.714
West Haven,2012-01-01,161133.864
West Haven,2012-02-01,139282.0
West Haven,2012-03-01,138315.28
West Haven,2012-04-01,156320.37
West Haven,2012-05-01,163324.324
West Haven,2012-06-01,176037.186
West Haven,2012-07-01,168562.656
West Haven,2012-08-01,161495.714
West Haven,2012-09-01,171286.154
West Haven,2012-10-01,157220.0
West Haven,2012-11-01,153937.037
West Haven,2012-12-01,141330.769
West Haven,2013-01-01,131651.091
West Haven,2013-02-01,154421.182
West Haven,2013-03-01,166275.0
West Haven,2013-04-01,161006.667
West Haven,2013-05-01,169736.735
West Haven,2013-06-01,155657.895
West Haven,2013-07-01,151557.781
West Haven,2013-08-01,194271.222
West Haven,2013-09-01,162294.088
West Haven,2013-10-01,159678.471
West Haven,2013-11-01,169221.674
West Haven,2013-12-01,151437.818
West Haven,2014-01-01,173567.16
West Haven,2014-02-01,135641.9
West Haven,2014-03-01,167055.346
West Haven,2014-04-01,172682.897
West Haven,2014-05-01,157601.154
West Haven,2014-06-01,156418.519
West Haven,2014-07-01,190640.0
West Haven,2014-08-01,142725.0
West Haven,2014-09-01,166150.0
West Haven,2014-10-01,164971.58
West Haven,2014-11-01,168529.167
West Haven,2014-12-01,154395.971
West Haven,2015-01-01,164966.75
West Haven,2015-02-01,155382.818
West Haven,2015-03-01,130729.469
West Haven,2015-04-01,139383.921
West Haven,2015-05-01,143521.296
West Haven,2015-06-01,164694.556
West Haven,2015-07-01,176775.407
West Haven,2015-08-01,181543.478
West Haven,2015-09-01,174077.551
West Haven,2015-10-01,174143.536
West Haven,2015-11-01,174209.522
West Haven,2015-12-01,174275.507
West Haven,2016-01-01,174341.493
West Haven,2016-02-01,174407.478
West Haven,2016-03-01,174473.464
West Haven,2016-04-01,174539.449
West Haven,2016-05-01,174605.435
West Haven,2016-06-01,174671.42
West Haven,2016-07-01,174737.405
West Haven,2016-08-01,174803.391
West Haven,2016-09-01,174869.376
West Haven,2016-10-01,174935.362
West Haven,2016-11-01,180741.02
West Haven,2016-12-01,173639.37
West Haven,2017-01-01,184876.682
West Haven,2017-02-01,159542.129
West Haven,2017-03-01,152576.682
West Haven,2017-04-01,145604.558
West Haven,2017-05-01,176797.317
West Haven,2017-06-01,195566.278
West Haven,2017-07-01,174420.25
West Haven,2017-08-01,190170.38
West Haven,2017-09-01,170684.352
West Haven,2017-10-01,182331.739
West Haven,2017-11-01,177334.066
West Haven,2017-12-01,176634.091
West Haven,2018-01-01,152360.118
West Haven,2018-02-01,172726.486
West Haven,2018-03-01,193142.826
West Haven,2018-04-01,191910.0
West Haven,2018-05-01,191089.17
West Haven,2018-06-01,200037.517
West Haven,2018-07-01,203334.307
West Haven,2018-08-01,192489.434
West Haven,2018-09-01,184820.918
West Haven,2018-10-01,181796.841
West Haven,2018-11-01,203286.486
West Haven,2018-12-01,185156.275
West Haven,2019-01-01,174079.435
West Haven,2019-02-01,196476.25
West Haven,2019-03-01,196168.5
West Haven,2019-04-01,187838.173
West Haven,2019-05-01,186203.25
West Haven,2019-06-01,195554.177
West Haven,2019-07-01,198300.25
West Haven,2019-08-01,200629.536
West Haven,2019-09-01,215101.703
West Haven,2019-10-01,195693.75
West Haven,2019-11-01,212202.654
West Haven,2019-12-01,198802.778
West Haven,2020-01-01,182470.19
West Haven,2020-02-01,196487.31
West Haven,2020-03-01,212454.214
West Haven,2020-04-01,227857.911
West Haven,2020-05-01,217422.079
West Haven,2020-06-01,208065.909
West Haven,2020-07-01,218695.776
West Haven,2020-08-01,229389.614
West Haven,2020-09-01,228115.663
West Haven,2020-10-01,230017.18
West Haven,2020-11-01,231918.697
West Haven,2020-12-01,233820.214
West Haven,2021-01-01,235721.731
West Haven,2021-02-01,237623.248
West Haven,2021-03-01,239524.765
West Haven,2021-04-01,241426.282
West Haven,2021-05-01,243327.799
West Haven,2021-06-01,245229.316
West Haven,2021-07-01,247130.833
West Haven,2021-08-01,249032.35
West Haven,2021-09-01,250933.868
West Haven,2021-10-01,252835.385
West Haven,2021-11-01,281051.556
West Haven,2021-12-01,248139.769
West Haven,2022-01-01,247029.226
West Haven,2022-02-01,232450.0
West Haven,2022-03-01,245327.419
West Haven,2022-04-01,257568.038
West Haven,2022-05-01,239957.143
West Haven,2022-06-01,268083.867
West Haven,2022-07-01,265927.167
West Haven,2022-08-01,264059.868
West Haven,2022-09-01,274246.538
Westbrook,2006-10-01,302584.167
Westbrook,2006-11-01,302584.167
Westbrook,2006-12-01,302584.167
Westbrook,2007-01-01,302584.167
Westbrook,2007-02-01,302584.167
Westbrook,2007-03-01,302584.167
Westbrook,2007-04-01,302584.167
Westbrook,2007-05-01,302584.167
Westbrook,2007-06-01,302584.167
Westbrook,2007-07-01,302584.167
Westbrook,2007-08-01,302584.167
Westbrook,2007-09-01,302584.167
Westbrook,2007-10-01,302584.167
Westbrook,2007-11-01,235596.385
Westbrook,2007-12-01,301700.0
Westbrook,2008-01-01,338500.0
Westbrook,2008-02-01,213799.0
Westbrook,2008-03-01,294465.222
Westbrook,2008-04-01,540778.571
Westbrook,2008-05-01,451750.0
Westbrook,2008-06-01,317869.786
Westbrook,2008-07-01,440833.333
Westbrook,2008-08-01,419222.222
Westbrook,2008-09-01,496727.273
Westbrook,2008-10-01,369334.615
Westbrook,2008-11-01,390250.0
Westbrook,2008-12-01,237888.889
Westbrook,2009-01-01,242966.667
Westbrook,2009-02-01,315000.0
Westbrook,2009-03-01,76583.333
Westbrook,2009-04-01,494312.5
Westbrook,2009-05-01,291666.667
Westbrook,2009-06-01,495333.333
Westbrook,2009-07-01,383885.0
Westbrook,2009-08-01,160633.333
Westbrook,2009-09-01,471100.0
