Town,Sale Amount,Date,Projected,Lower_CI,Upper_CI
Ansonia,308579.7619047619,2021-02-01,False,,
Ansonia,332230.4761904762,2021-03-01,False,,
Ansonia,276291.78571428574,2021-04-01,False,,
Ansonia,332141.0344827586,2021-05-01,False,,
Ansonia,385341.6666666667,2021-06-01,False,,
Ansonia,348737.5806451613,2021-07-01,False,,
Ansonia,326199.3129032258,2021-08-01,False,,
Ansonia,349278.4236842105,2021-09-01,False,,
Ansonia,355547.5,2021-10-01,False,,
Ansonia,370859.53125,2021-11-01,False,,
Ansonia,348254.3103448276,2021-12-01,False,,
Ansonia,353358.2,2022-01-01,False,,
Ansonia,409296.5217391304,2022-02-01,False,,
Ansonia,365810.71428571426,2022-03-01,False,,
Ansonia,347961.85185185185,2022-04-01,False,,
Ansonia,414739.3774193548,2022-05-01,False,,
Ansonia,379840.7689655173,2022-06-01,False,,
Ansonia,461407.1428571429,2022-07-01,False,,
Ansonia,398239.3103448276,2022-08-01,False,,
Ansonia,378148.3333333333,2022-09-01,False,,
Ansonia,252776.21438274905,2022-10-01,False,,
Ansonia,252776.21438274905,2022-11-01,False,,
Ansonia,252776.21438274905,2022-12-01,False,,
Ansonia,254635.77161063548,2023-01-01,True,164939.85531562494,344331.68790564605
Ansonia,272826.9468664367,2023-02-01,True,170267.41631424546,375386.47741862794
Ansonia,251052.17148596558,2023-03-01,True,137071.65905407138,365032.6839178598
Ansonia,265495.72820806305,2023-04-01,True,141138.75364905185,389852.7027670742
Ansonia,286688.8264154305,2023-05-01,True,152756.91450173594,420620.7383291251
Ansonia,289364.5675237963,2023-06-01,True,146497.9971282824,432231.13791931013
Ansonia,304557.60571693047,2023-07-01,True,153283.16357605316,455832.0478578078
Ansonia,291294.8278115042,2023-08-01,True,132055.83524012755,450533.82038288086
Ansonia,289999.221541493,2023-09-01,True,123175.51744746539,456822.92563552066
Ansonia,253089.67443359044,2023-10-01,True,79011.45800576115,427167.8908614197
Ansonia,260861.9720696356,2023-11-01,True,79819.70465719758,441904.23948207364
Ansonia,257887.58699765344,2023-12-01,True,70139.40517822711,445635.7688170798
Ansonia,250522.7476678269,2024-01-01,True,49250.64189697651,451794.85343867727
Ansonia,268713.9229236281,2024-02-01,True,57998.85661768075,479428.9892295755
Ansonia,246939.147543157,2024-03-01,True,27186.518944067822,466691.7761422462
Ansonia,261382.70426525446,2024-04-01,True,32949.78985795952,489815.6186725494
Ansonia,282575.8024726219,2024-05-01,True,45780.58505177262,519371.01989347115
Ansonia,285251.54358098767,2024-06-01,True,40379.42674719525,530123.66041478
Ansonia,300444.58177412185,2024-07-01,True,47753.60011291667,553135.563435327
Ansonia,287181.80386869557,2024-08-01,True,26906.73624744764,547456.8714899435
Ansonia,285886.1975986844,2024-09-01,True,18241.808323864185,553530.5868735046
Ansonia,248976.65049078185,2024-10-01,True,-25839.341677921446,523792.6426594851
Ansonia,256748.94812682702,2024-11-01,True,-25056.197118667536,538554.0933723216
Ansonia,253774.56305484485,2024-12-01,True,-34850.54026660044,542399.6663762901
Ansonia,246409.7237250183,2025-01-01,True,-54521.096342681005,547340.5437927176
Ansonia,264600.8989808195,2025-02-01,True,-45538.83013604791,574740.6280976869
Ansonia,242826.1236003484,2025-03-01,True,-76256.85101391518,561909.098214612
Ansonia,257269.68032244584,2025-04-01,True,-70512.62213092236,585051.982775814
Ansonia,278462.7785298133,2025-05-01,True,-57793.86588806752,614719.4229476941
Ansonia,281138.51963817904,2025-06-01,True,-63384.08343653969,625661.1227128978
Ansonia,296331.5578313132,2025-07-01,True,-56263.276425770426,648926.3920883969
Ansonia,283068.77992588695,2025-08-01,True,-77417.57246866025,643555.1323204341
Ansonia,281773.1736558758,2025-09-01,True,-86435.6952537268,649982.0425654784
Ansonia,244863.62654797322,2025-10-01,True,-130908.84535860005,620636.0984545465
Ansonia,252635.9241840184,2025-11-01,True,-130550.88399358606,635822.7323616229
Ansonia,249661.53911203623,2025-12-01,True,-140798.84215476183,640121.9203788342
Ashford,302217.5,2006-10-01,False,,
Ashford,212030.0,2006-11-01,False,,
Ashford,295571.4272727273,2006-12-01,False,,
Ashford,262892.5,2007-01-01,False,,
Ashford,286260.0,2007-02-01,False,,
Ashford,317980.0,2007-03-01,False,,
Ashford,287213.3333333333,2007-04-01,False,,
Ashford,348708.75,2007-05-01,False,,
Ashford,366908.75,2007-06-01,False,,
Ashford,332774.0,2007-07-01,False,,
Ashford,334509.5,2007-08-01,False,,
Ashford,408167.5,2007-09-01,False,,
Ashford,253621.98400014947,2007-10-01,False,,
Ashford,253621.98400014947,2007-11-01,False,,
Ashford,253621.98400014947,2007-12-01,False,,
Ashford,253621.98400014947,2008-01-01,False,,
Ashford,253621.98400014947,2008-02-01,False,,
Ashford,253621.98400014947,2008-03-01,False,,
Ashford,253621.98400014947,2008-04-01,False,,
Ashford,253621.98400014947,2008-05-01,False,,
Ashford,253621.98400014947,2008-06-01,False,,
Ashford,253621.98400014947,2008-07-01,False,,
Ashford,253621.98400014947,2008-08-01,False,,
Ashford,253621.98400014947,2008-09-01,False,,
Ashford,249964.0,2008-10-01,False,,
Ashford,356687.5,2008-11-01,False,,
Ashford,206700.0,2008-12-01,False,,
Ashford,321035.0,2009-01-01,False,,
Ashford,282750.0,2009-02-01,False,,
Ashford,248664.0,2009-03-01,False,,
Ashford,177840.0,2009-04-01,False,,
Ashford,149500.0,2009-05-01,False,,
Ashford,335982.4,2009-06-01,False,,
