Date,Unemployed,Town
2024-12-01,114.52242870537583,Somers
2025-01-01,155.1136608055261,Somers
2025-02-01,162.88174143502147,Somers
2025-03-01,140.1300157702709,Somers
2025-04-01,117.58057242825777,Somers
2025-05-01,144.73806460872424,Somers
2025-06-01,134.39264958279745,Somers
2025-07-01,150.49198034769228,Somers
2025-08-01,131.13566295630014,Somers
2025-09-01,115.17528958494421,Somers
2025-10-01,113.49526868030932,Somers
2024-11-01,194.30782814229136,Southbury
2024-12-01,194.95318791890386,Southbury
2025-01-01,249.44044593818006,Southbury
2025-02-01,263.71375394207325,Southbury
2025-03-01,212.21846532736606,Southbury
2025-04-01,161.49058414098423,Southbury
2025-05-01,201.9150829049571,Southbury
2025-06-01,156.2075563404516,Southbury
2025-07-01,186.67932717279348,Southbury
2025-08-01,178.90134482480622,Southbury
2025-09-01,150.3587366374772,Southbury
2025-10-01,160.61838645706635,Southbury
2024-11-01,478.12450209380097,Southington
2024-12-01,470.5575070060939,Southington
2025-01-01,614.0130322802256,Southington
2025-02-01,631.7441434863515,Southington
2025-03-01,514.0008650782463,Southington
2025-04-01,402.8074214999653,Southington
2025-05-01,472.261583035458,Southington
2025-06-01,374.2900110666458,Southington
2025-07-01,410.9223678170848,Southington
2025-08-01,396.9336661955923,Southington
2025-09-01,355.19490966682355,Southington
2025-10-01,385.348052499334,Southington
2024-11-01,36.8425480911084,Sprague
2024-12-01,36.34135257383792,Sprague
2025-01-01,40.91882709301162,Sprague
2025-02-01,41.358013519722306,Sprague
2025-03-01,36.293460802816924,Sprague
2025-04-01,35.54893469648685,Sprague
2025-05-01,36.7899505469078,Sprague
2025-06-01,34.90918665894548,Sprague
2025-07-01,38.77078673047921,Sprague
2025-08-01,38.536867687778816,Sprague
2025-09-01,35.55834624284605,Sprague
2025-10-01,35.67765865078604,Sprague
2024-11-01,131.53846383870746,Stafford
2024-12-01,141.2471410074268,Stafford
2025-01-01,212.24950985019947,Stafford
2025-02-01,230.73722376087974,Stafford
2025-03-01,176.38513008521815,Stafford
2025-04-01,124.27331733288827,Stafford
2025-05-01,137.90230253392986,Stafford
2025-06-01,108.34619269110202,Stafford
2025-07-01,154.0899137526267,Stafford
2025-08-01,136.73931237103145,Stafford
2025-09-01,98.31264190745587,Stafford
2025-10-01,96.56097995274114,Stafford
2024-11-01,37.61593113262711,Sterling
2024-12-01,44.123762781755936,Sterling
2025-01-01,79.44643016035691,Sterling
2025-02-01,85.10369041631168,Sterling
2025-03-01,71.811631804965,Sterling
2025-04-01,49.25310081901787,Sterling
2025-05-01,56.52484893792483,Sterling
2025-06-01,55.768558931406,Sterling
2025-07-01,55.08413792089119,Sterling
2025-08-01,48.572714661110986,Sterling
2025-09-01,44.82769936405792,Sterling
2025-10-01,42.23793507643927,Sterling
2024-11-01,177.96262768978548,Stonington
2024-12-01,192.5730862037944,Stonington
2025-01-01,242.8758877100169,Stonington
2025-02-01,249.75547360236575,Stonington
2025-03-01,213.904123609154,Stonington
2025-04-01,180.0342206705148,Stonington
2025-05-01,188.23794426480123,Stonington
2025-06-01,164.00937449957578,Stonington
2025-07-01,180.1557081481689,Stonington
2025-08-01,171.63694648209704,Stonington
2025-09-01,153.93715369153398,Stonington
2025-10-01,161.2809000874015,Stonington
2024-11-01,660.3246769326248,Stratford
2024-12-01,604.0005052532928,Stratford
2025-01-01,853.0982671077818,Stratford
2025-02-01,832.1017386836141,Stratford
2025-03-01,720.5628992761286,Stratford
2025-04-01,691.9954387294383,Stratford
2025-05-01,855.3876105379999,Stratford
